"rank","name","average rank","index","Player","Pos","Age","Tm","G","GS","MP","3P","3PA","2P","2PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS"
59,"Bojan Bogdanovic",65.5,0.83625,"Bojan Bogdanovic\bogdabo02","SF",29,"IND",81,81,2573,164,386,358,665,246,305,33,300,161,69,1,134,138,1454
60,"Otto Porter",65.66666667,0.8358333333,"Otto Porter\porteot01","SF",25,"TOT",56,43,1683,104,256,195,387,78,96,54,260,120,82,31,65,108,780
61,"Lauri Markkanen",65.83333333,0.8354166667,"Lauri Markkanen\markkla01","PF",21,"CHI",52,51,1682,120,332,222,463,170,195,74,396,75,37,33,85,122,974
62,"Zach LaVine",66.16666667,0.8345833333,"Zach LaVine\lavinza01","SG",23,"CHI",63,62,2171,120,321,410,814,312,375,40,254,283,60,26,215,140,1492
63,"Eric Gordon",67.5,0.83125,"Eric Gordon\gordoer01","SG",30,"HOU",68,53,2158,216,600,168,338,119,152,17,131,129,41,27,90,143,1103
64,"Domantas Sabonis",69.83333333,0.8254166667,"Domantas Sabonis\sabondo01","C",22,"IND",74,5,1838,9,17,404,683,208,291,186,504,212,48,30,160,239,1043
65,"Josh Richardson",70.33333333,0.8241666667,"Josh Richardson\richajo01","SG",25,"MIA",73,73,2539,164,460,259,566,199,231,54,209,298,79,34,113,200,1209
66,"Jaren Jackson Jr.",70.83333333,0.8229166667,"Jaren Jackson Jr.\jacksja02","PF",19,"MEM",58,56,1515,51,142,247,447,151,197,73,199,64,52,82,98,220,798
67,"Julius Randle",74,0.815,"Julius Randle\randlju01","PF",24,"NOP",73,49,2232,67,195,504,894,356,487,162,472,229,52,45,208,246,1565
68,"P.J. Tucker",74.16666667,0.8145833333,"P.J. Tucker\tuckepj01","PF",33,"HOU",82,82,2802,146,387,61,136,41,59,121,358,96,132,39,63,252,601
69,"Montrezl Harrell",74.66666667,0.8133333333,"Montrezl Harrell\harremo01","C",25,"LAC",82,5,2158,3,17,543,871,266,414,184,351,162,71,110,132,255,1361
70,"Brandon Ingram",76.66666667,0.8083333333,"Brandon Ingram\ingrabr01","SF",21,"LAL",52,52,1760,31,94,331,635,195,289,41,226,154,28,31,129,149,950
71,"Marcus Smart",79.16666667,0.8020833333,"Marcus Smart\smartma01","SG",24,"BOS",80,60,2200,126,346,113,221,104,129,57,177,321,143,28,123,201,708
72,"Patrick Beverley",80.5,0.79875,"Patrick Beverley\beverpa01","PG",30,"LAC",78,49,2137,112,282,82,195,96,123,76,312,300,67,43,85,265,596
